Id,Date,Site,County,State,Species,Sex,Age,Reproduction,Forearm,Weight,Data Project
2600797,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600798,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600799,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600800,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600801,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600802,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600803,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600804,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600805,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600806,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600807,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600808,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600809,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600810,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600811,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600812,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600813,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600814,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600815,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600816,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600817,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600818,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600819,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600820,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600926,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600927,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600931,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600932,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600933,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600934,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600935,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600936,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600937,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600977,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600978,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600979,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600980,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600981,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600982,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600983,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600984,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600985,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600986,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600988,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600989,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600990,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600991,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600992,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600993,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601012,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601013,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601087,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601238,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601239,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601240,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601241,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601242,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601243,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601244,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601261,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601262,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601263,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601264,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601265,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601266,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601267,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601268,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601269,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601270,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601271,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601272,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601273,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601274,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2601275,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
