Id,Date,Site,County,State,Species,Sex,Age,Reproduction,Forearm,Weight,Data Project
2397410,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397411,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397412,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397413,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397414,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397415,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397416,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397417,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397418,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397419,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397420,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397421,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397006,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397008,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397009,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397010,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397011,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397012,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397013,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397014,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397015,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397016,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397017,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397018,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397019,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397020,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397021,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397022,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397023,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397025,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397026,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397027,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2397028,00:00.0,"Hurley (Iron), Iron, United States","Iron, US.WI",Wisconsin,Myotis lucifugus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
